Series,Current,Min,Max,Average
Start Time,-1.79769e+308
End Time,1.79769e+308
Current Time,1.76469e+09
/kiss/odometry/header/header/stamp,1483229255.001467,1483229248.801483,1483229265.801475,1483229257.138433
/kiss/odometry/pose/covariance/[0;0],0.100000,0.100000,0.100000,0.100000
/kiss/odometry/pose/covariance/[0;1],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[0;2],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[0;3],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[0;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[0;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[1;1],0.100000,0.100000,0.100000,0.100000
/kiss/odometry/pose/covariance/[1;2],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[1;3],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[1;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[1;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[2;2],0.100000,0.100000,0.100000,0.100000
/kiss/odometry/pose/covariance/[2;3],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[2;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[2;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[3;3],0.100000,0.100000,0.100000,0.100000
/kiss/odometry/pose/covariance/[3;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[3;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[4;4],0.100000,0.100000,0.100000,0.100000
/kiss/odometry/pose/covariance/[4;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/pose/covariance/[5;5],0.100000,0.100000,0.100000,0.100000
/kiss/odometry/pose/pose/orientation/pitch,0.000617,-1.502975,1.513890,-0.020531
/kiss/odometry/pose/pose/orientation/roll,0.855963,-1.513095,2.663006,0.073896
/kiss/odometry/pose/pose/orientation/w,0.909522,0.659647,1.000000,0.924028
/kiss/odometry/pose/pose/orientation/x,0.414897,-0.684054,0.728425,-0.012161
/kiss/odometry/pose/pose/orientation/y,0.010703,-0.750229,0.710595,-0.012173
/kiss/odometry/pose/pose/orientation/yaw,0.050232,-2.607674,1.750406,-0.011803
/kiss/odometry/pose/pose/orientation/z,0.022720,-0.034932,0.070879,0.007958
/kiss/odometry/pose/pose/position/x,0.040228,-0.277692,0.050913,-0.041437
/kiss/odometry/pose/pose/position/y,-0.016042,-0.429485,0.092450,-0.007433
/kiss/odometry/pose/pose/position/z,0.045942,-0.155027,0.154283,-0.017716
/kiss/odometry/twist/covariance/[0;0],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[0;1],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[0;2],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[0;3],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[0;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[0;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[1;1],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[1;2],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[1;3],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[1;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[1;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[2;2],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[2;3],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[2;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[2;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[3;3],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[3;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[3;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[4;4],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[4;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/covariance/[5;5],0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/twist/angular/x,0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/twist/angular/y,0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/twist/angular/z,0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/twist/linear/x,0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/twist/linear/y,0.000000,0.000000,0.000000,0.000000
/kiss/odometry/twist/twist/linear/z,0.000000,0.000000,0.000000,0.000000
